ZvsY/-0,0200/0,0200/-0,8800/0,1400/0,2100/-0,3200/-0,0016/-0,0156/0,2630/0,0321/0,2529/-0,0219/4,5671/-0,7827/-1,3131
ZvsY/-0,0200/0,0200/-0,8800/0,1700/0,4500/-0,3100/-0,0016/-0,0156/0,2630/-0,0133/0,4890/-0,0490/8,2543/-0,2978/-4,7419
ZvsY/-0,0200/0,0200/-0,8800/0,1900/0,6600/-0,2200/-0,0016/-0,0156/0,2630/-0,0558/0,6950/-0,0118/9,6896/0,5865/-9,7160
ZvsY/-0,0200/0,0100/-0,7100/0,1200/0,2200/-0,3000/0,0070/-0,0242/0,5251/0,0100/0,2568/0,0004/4,6388/-0,5653/-1,2609
ZvsY/-0,0200/0,0100/-0,7100/0,1500/0,4500/-0,3000/0,0070/-0,0242/0,5251/-0,0324/0,4831/-0,0359/8,1868/-0,1501/-4,5814
ZvsY/-0,0200/0,0100/-0,7100/0,1300/0,6600/-0,1800/0,0070/-0,0242/0,5251/-0,1126/0,6774/0,0338/9,3773/1,7122/-9,4736
ZvsY/-0,0400/0,0100/-0,4300/0,1500/0,2100/-0,3000/-0,0013/-0,0502/0,7734/0,0417/0,2569/0,0001/4,3382/-1,5690/-1,4145
ZvsY/-0,0200/0,0000/-0,4300/0,1400/0,4500/-0,3200/0,0130/-0,0331/0,7737/-0,0420/0,4791/-0,0579/8,2361/-0,4930/-4,7349
ZvsY/-0,0200/0,0000/-0,4300/0,2000/0,6500/-0,2500/0,0130/-0,0331/0,7737/-0,0437/0,6878/-0,0402/9,8443/-0,5908/-9,5662
XvsZ/0,2100/0,1000/0,4000/0,0200/-0,0100/0,1700/0,2727/0,0336/0,1158/0,0145/0,0131/0,2579/1,5947/-5,2918/-1,7668
XvsZ/0,2100/0,1000/0,4000/0,0200/-0,0100/0,3100/0,2727/0,0336/0,1158/0,0176/0,0139/0,3952/1,6626/-5,2943/-1,6754
XvsZ/0,2100/0,1000/0,4000/0,0100/0,0000/0,4200/0,2727/0,0336/0,1158/0,0093/0,0233/0,5017/1,7668/-5,0079/-1,6225
XvsZ/0,2100/0,1000/0,4000/0,0100/0,0000/0,5100/0,2727/0,0336/0,1158/0,0116/0,0232/0,5872/1,7810/-4,9959/-1,6718
XvsZ/0,4500/0,1700/0,2900/0,0100/-0,0200/0,1100/0,5175/0,0315/0,0243/0,0041/0,0018/0,1991/0,8412/-8,8979/-5,4383
